,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
0,2017-09-01 00:00:00.000,4689.89000000,4766.99000000,4689.89000000,4725.00000000,43.82301700,2017-09-01 01:59:59.999,207163.98678974,375,12.44212600,59053.06267211,10620.61164716
1,2017-09-01 02:00:00.000,4740.99000000,4767.00000000,4713.67000000,4714.73000000,31.82496100,2017-09-01 03:59:59.999,150627.73114006,248,11.09892200,52712.10914083,10895.20023100
2,2017-09-01 04:00:00.000,4714.73000000,4734.99000000,4654.88000000,4664.14000000,49.57019700,2017-09-01 05:59:59.999,232931.78998014,280,3.63698700,17174.02525413,10748.23156376
3,2017-09-01 06:00:00.000,4664.14000000,4713.80000000,4656.30000000,4707.50000000,51.65593700,2017-09-01 07:59:59.999,242317.00842822,261,7.46210700,35038.72015933,10809.87920010
4,2017-09-01 08:00:00.000,4715.00000000,4762.99000000,4708.09000000,4742.46000000,69.80060100,2017-09-01 09:59:59.999,330673.08140351,432,18.61692900,88330.71852505,10716.29600330
5,2017-09-01 10:00:00.000,4739.33000000,4798.46000000,4725.88000000,4775.00000000,61.16605400,2017-09-01 11:59:59.999,290925.28797023,378,9.25720600,44084.16089611,10632.85283490
6,2017-09-01 12:00:00.000,4775.00000000,4839.92000000,4736.35000000,4777.02000000,22.12987300,2017-09-01 13:59:59.999,105871.54286816,223,14.09948000,67481.14121434,10485.41503966
7,2017-09-01 14:00:00.000,4777.02000000,4804.12000000,4725.81000000,4803.83000000,46.75783900,2017-09-01 15:59:59.999,222519.92487910,295,2.15983100,10341.09816810,10455.72340756
8,2017-09-01 16:00:00.000,4756.46000000,4803.83000000,4738.94000000,4792.97000000,53.33658500,2017-09-01 17:59:59.999,254670.96020630,456,4.77296600,22886.43692787,10389.34051206
9,2017-09-01 18:00:00.000,4792.97000000,4815.67000000,4739.08000000,4813.24000000,43.61503800,2017-09-01 19:59:59.999,208592.59184252,437,10.07460400,48236.83261648,10426.66786676
10,2017-09-01 20:00:00.000,4808.79000000,4859.44000000,4770.63000000,4770.63000000,43.78508200,2017-09-01 21:59:59.999,210369.75182594,338,14.41062900,69372.32734249,10473.08239737
11,2017-09-01 22:00:00.000,4760.01000000,4885.55000000,4760.01000000,4834.91000000,43.20118200,2017-09-01 23:59:59.999,208501.90191224,277,10.62831600,51543.79798050,10906.14445652
12,2017-09-02 00:00:00.000,4796.16000000,4932.38000000,4784.43000000,4932.38000000,67.00771700,2017-09-02 01:59:59.999,326531.09591361,533,31.93532900,155878.95896793,11592.05662514
13,2017-09-02 02:00:00.000,4932.38000000,4939.19000000,4764.88000000,4788.07000000,78.53081100,2017-09-02 03:59:59.999,379803.63515050,503,25.13579300,121356.86681264,11524.89378032
14,2017-09-02 04:00:00.000,4765.01000000,4814.49000000,4473.35000000,4473.35000000,82.90589500,2017-09-02 05:59:59.999,385566.50764223,743,26.08844800,122187.25252608,11420.75747443
15,2017-09-02 06:00:00.000,4493.00000000,4780.00000000,4473.35000000,4697.71000000,95.86371300,2017-09-02 07:59:59.999,444065.46436299,965,65.19343100,301177.95742732,11356.80041870
16,2017-09-02 08:00:00.000,4701.02000000,4709.40000000,4549.77000000,4604.02000000,80.84441600,2017-09-02 09:59:59.999,373461.76564907,548,18.38927300,85004.91180314,11482.89590180
17,2017-09-02 10:00:00.000,4604.01000000,4688.66000000,4556.71000000,4630.01000000,61.39546000,2017-09-02 11:59:59.999,283682.42603875,549,27.28834700,126548.46172402,11361.31181285
18,2017-09-02 12:00:00.000,4669.75000000,4675.00000000,4516.17000000,4618.39000000,68.33179900,2017-09-02 13:59:59.999,314534.76396614,548,24.44919900,112948.49193133,11487.09858172
19,2017-09-02 14:00:00.000,4618.39000000,4618.39000000,4354.61000000,4460.19000000,118.97268600,2017-09-02 15:59:59.999,528664.37025519,752,51.24331000,227776.08930720,11213.49746846
20,2017-09-02 16:00:00.000,4465.12000000,4545.76000000,4377.43000000,4530.01000000,84.97468600,2017-09-02 17:59:59.999,379020.82573342,638,30.68486200,137130.23082987,11346.71557423
21,2017-09-02 18:00:00.000,4554.98000000,4554.98000000,4428.66000000,4509.77000000,54.64083600,2017-09-02 19:59:59.999,246108.17586973,342,11.97010100,53703.09876712,11348.29617196
22,2017-09-02 20:00:00.000,4509.77000000,4509.96000000,4286.87000000,4299.53000000,82.78080600,2017-09-02 21:59:59.999,361781.66563206,859,36.10421200,158243.32284292,11353.53396207
23,2017-09-02 22:00:00.000,4398.49000000,4508.50000000,4299.47000000,4472.14000000,52.89977000,2017-09-02 23:59:59.999,234503.24860331,495,30.71755800,136378.44247778,11416.45790779
24,2017-09-03 00:00:00.000,4508.50000000,4618.38000000,4486.19000000,4560.00000000,57.02225400,2017-09-03 01:59:59.999,259526.21844890,605,23.47150000,106948.51238403,11564.89598828
25,2017-09-03 02:00:00.000,4545.00000000,4618.40000000,4467.88000000,4569.54000000,55.54650400,2017-09-03 03:59:59.999,253003.84613732,407,23.70915700,108153.37284808,11684.66163647
26,2017-09-03 04:00:00.000,4584.78000000,4714.76000000,4584.78000000,4675.12000000,70.95987100,2017-09-03 05:59:59.999,331655.49657521,428,30.50189200,142716.09757355,11850.85422262
