,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
0,2018-01-01 00:00:00,13715.65000000,13715.65000000,13155.38000000,13203.06000000,827.05320500,2018-01-01 01:59:59.999,11148431.39117344,9762,409.36232400,5520990.59872621,0
1,2018-01-01 02:00:00,13203.00000000,13611.27000000,13200.00000000,13410.03000000,849.15160200,2018-01-01 03:59:59.999,11367640.47583378,9676,330.15634200,4416545.91510274,0
2,2018-01-01 04:00:00,13434.98000000,13699.00000000,13322.15000000,13558.99000000,745.03637500,2018-01-01 05:59:59.999,10087101.93304109,9649,315.28869300,4263768.08006951,0
3,2018-01-01 06:00:00,13539.00000000,13818.55000000,13510.00000000,13570.35000000,557.17846100,2018-01-01 07:59:59.999,7615433.79154697,8412,273.22752900,3735027.48195626,0
4,2018-01-01 08:00:00,13569.98000000,13735.24000000,13400.00000000,13616.99000000,484.90938200,2018-01-01 09:59:59.999,6575049.29109136,6861,219.27989500,2974657.91544409,0
5,2018-01-01 10:00:00,13632.00000000,13657.92000000,13001.13000000,13220.56000000,834.84654900,2018-01-01 11:59:59.999,11076158.90564417,10339,363.38839800,4817450.98399715,0
6,2018-01-01 12:00:00,13220.56000000,13300.00000000,12815.70000000,13017.00000000,712.39383400,2018-01-01 13:59:59.999,9306558.06150996,9337,363.76541600,4748134.88769384,0
7,2018-01-01 14:00:00,12999.71000000,13330.00000000,12750.00000000,13247.00000000,1119.53931900,2018-01-01 15:59:59.999,14606032.98044572,12020,466.54933100,6084903.22486977,0
8,2018-01-01 16:00:00,13247.00000000,13247.08000000,12966.42000000,13022.00000000,595.96559400,2018-01-01 17:59:59.999,7812334.72569767,6982,304.91143600,3997429.28279323,0
9,2018-01-01 18:00:00,13007.87000000,13290.65000000,12940.00000000,13240.37000000,496.37164000,2018-01-01 19:59:59.999,6536535.88807676,6196,252.54234300,3326890.28462646,0
10,2018-01-01 20:00:00,13222.03000000,13580.67000000,13222.03000000,13481.01000000,738.95000300,2018-01-01 21:59:59.999,9934408.95558684,8637,396.17804700,5325019.40996166,0
11,2018-01-01 22:00:00,13494.99000000,13599.70000000,13355.01000000,13380.00000000,648.51988000,2018-01-01 23:59:59.999,8734061.04232281,7724,267.28919200,3598929.37513953,0
12,2018-01-02 00:00:00,13382.16000000,13850.00000000,13382.16000000,13600.00000000,984.05803900,2018-01-02 01:59:59.999,13465393.53108901,12023,471.88513300,6461634.25491539,0
13,2018-01-02 02:00:00,13611.93000000,13678.33000000,13231.96000000,13353.78000000,1381.47488700,2018-01-02 03:59:59.999,18588235.77586164,16289,629.66583500,8460650.74436829,0
14,2018-01-02 04:00:00,13353.78000000,13480.84000000,12890.02000000,13166.95000000,1592.42163800,2018-01-02 05:59:59.999,20975377.77917262,13735,831.26208900,10959755.37856666,0
15,2018-01-02 06:00:00,13166.95000000,13359.98000000,13041.50000000,13343.00000000,1387.89441500,2018-01-02 07:59:59.999,18370890.78904318,9079,831.60153800,11009180.74837767,0
16,2018-01-02 08:00:00,13343.01000000,13523.46000000,13302.59000000,13452.00000000,1257.18643300,2018-01-02 09:59:59.999,16837288.95054561,8761,775.54394600,10387946.97342362,0
17,2018-01-02 10:00:00,13460.00000000,13617.28000000,13401.05000000,13490.00000000,1338.99624100,2018-01-02 11:59:59.999,18093334.34047286,9752,802.90454300,10850303.11554974,0
18,2018-01-02 12:00:00,13490.00000000,13875.00000000,13450.46000000,13864.98000000,1708.04227300,2018-01-02 13:59:59.999,23287390.63505326,14949,1067.65509100,14553747.73876679,0
19,2018-01-02 14:00:00,13864.95000000,13894.86000000,13510.00000000,13690.03000000,1657.83723500,2018-01-02 15:59:59.999,22679869.73381836,14452,973.33699500,13314929.21418834,0
20,2018-01-02 16:00:00,13690.02000000,13842.88000000,13503.00000000,13780.00000000,1838.35786100,2018-01-02 17:59:59.999,25237853.18553977,14765,1066.66008600,14647489.36813084,0
21,2018-01-02 18:00:00,13789.98000000,15473.49000000,13755.43000000,14732.75000000,3251.91562200,2018-01-02 19:59:59.999,47618044.53203322,34292,1799.05495700,26335472.73253474,0
22,2018-01-02 20:00:00,14710.02000000,15160.31000000,14544.00000000,14692.40000000,2057.37231300,2018-01-02 21:59:59.999,30574715.61097461,17538,1168.42805300,17376329.71811144,0
23,2018-01-02 22:00:00,14700.00000000,15025.00000000,14600.00000000,14675.11000000,1622.53515400,2018-01-02 23:59:59.999,23988712.57011506,12093,928.32847300,13722648.69638330,0
24,2018-01-03 00:00:00,14690.00000000,14926.22000000,14660.00000000,14820.00000000,1449.78613000,2018-01-03 01:59:59.999,21424029.48984755,11307,840.96199000,12427912.57229622,0
25,2018-01-03 02:00:00,14847.97000000,15299.99000000,14744.99000000,14818.49000000,1854.04746000,2018-01-03 03:59:59.999,27749944.33563541,15798,1050.88278200,15728635.38949765,0
26,2018-01-03 04:00:00,14805.81000000,15117.56000000,14795.05000000,14988.00000000,1641.40451900,2018-01-03 05:59:59.999,24649138.18145042,12628,1027.20348500,15429118.99660242,0
27,2018-01-03 06:00:00,14980.89000000,15307.56000000,14858.01000000,15170.00000000,1570.29754800,2018-01-03 07:59:59.999,23711128.47977511,15220,902.28011900,13626796.17560502,0
28,2018-01-03 08:00:00,15170.00000000,15172.99000000,14440.00000000,14519.99000000,2137.83953400,2018-01-03 09:59:59.999,31785189.43192796,19378,1191.56541900,17735947.58304689,0
29,2018-01-03 10:00:00,14501.05000000,14855.00000000,14150.00000000,14730.05000000,2064.96340800,2018-01-03 11:59:59.999,29873729.40230938,18473,1145.16339400,16585777.99743913,0
30,2018-01-03 12:00:00,14764.73000000,14890.00000000,14400.04000000,14855.02000000,995.12788700,2018-01-03 13:59:59.999,14596941.24123009,12321,556.76418400,8167638.14402525,0
31,2018-01-03 14:00:00,14859.98000000,15045.51000000,14758.00000000,15033.77000000,1087.60623800,2018-01-03 15:59:59.999,16200848.25362218,14375,546.14495700,8136489.97419658,0
32,2018-01-03 16:00:00,15045.00000000,15130.00000000,14779.83000000,14800.00000000,866.94705200,2018-01-03 17:59:59.999,12999982.21785105,12042,408.11653800,6121206.05144859,0
33,2018-01-03 18:00:00,14800.00000000,14899.86000000,14671.00000000,14700.01000000,792.75030100,2018-01-03 19:59:59.999,11715828.83312600,12040,395.28964100,5843057.80925351,0
34,2018-01-03 20:00:00,14700.01000000,14990.00000000,14683.00000000,14926.96000000,535.31419700,2018-01-03 21:59:59.999,7940173.80312860,8358,272.64873000,4044926.33862531,0
35,2018-01-03 22:00:00,14926.96000000,14949.00000000,14710.00000000,14919.51000000,909.58336500,2018-01-03 23:59:59.999,13469934.66628636,10847,657.93232700,9739826.21331151,0
36,2018-01-04 00:00:00,14919.51000000,15179.00000000,14649.99000000,15172.12000000,2002.47400300,2018-01-04 01:59:59.999,29673018.05960060,16207,1453.22115000,21536457.03732098,0
37,2018-01-04 02:00:00,15175.00000000,15280.00000000,15059.00000000,15119.97000000,1060.06164300,2018-01-04 03:00:14.838,16123171.85894015,9694,585.20758100,8902477.36740641,0
38,2018-01-04 04:00:00,15119.97000000,15119.97000000,14730.00000000,14875.10000000,888.84395100,2018-01-04 05:59:59.999,13217032.22275423,7247,467.65251400,6954218.78760470,0
39,2018-01-04 06:00:00,14890.00000000,15100.00000000,14685.00000000,14748.00000000,1951.05649100,2018-01-04 07:59:59.999,28998738.20110687,15596,1173.43170800,17437129.94596885,0
40,2018-01-04 08:00:00,14734.07000000,14800.00000000,13918.04000000,14299.01000000,2329.05579200,2018-01-04 09:59:59.999,33466754.26361286,20384,1282.62180400,18469722.62381137,0
41,2018-01-04 10:00:00,14299.01000000,14571.78000000,14214.80000000,14539.97000000,2010.49625900,2018-01-04 11:59:59.999,28946075.22881115,12960,1203.75911000,17331368.33237812,0
42,2018-01-04 12:00:00,14539.99000000,14653.40000000,14181.88000000,14518.95000000,1788.22705000,2018-01-04 13:59:59.999,25884036.07927998,16535,984.46934200,14257918.10895958,0
43,2018-01-04 14:00:00,14518.95000000,14600.80000000,14270.01000000,14353.01000000,2172.60413500,2018-01-04 15:59:59.999,31384221.19032833,16443,1269.05661400,18333995.06556452,0
44,2018-01-04 16:00:00,14367.99000000,14648.89000000,14238.01000000,14648.89000000,1995.35889600,2018-01-04 17:59:59.999,28820493.69971801,15127,1140.45609200,16485861.03180731,0
45,2018-01-04 18:00:00,14648.00000000,14988.00000000,14630.00000000,14895.19000000,1641.25723000,2018-01-04 19:59:59.999,24301586.29911147,13543,876.86787000,12980990.30114939,0
46,2018-01-04 20:00:00,14905.00000000,15011.00000000,14722.65000000,14797.88000000,1835.18606000,2018-01-04 21:59:59.999,27338497.50435187,15099,1137.44050900,16952002.53647546,0
47,2018-01-04 22:00:00,14797.89000000,15100.08000000,14601.00000000,15059.54000000,1655.02806400,2018-01-04 23:59:59.999,24627959.19069230,11475,1106.62865700,16474651.87314262,0
48,2018-01-05 00:00:00,15059.56000000,15100.00000000,14802.00000000,15040.00000000,1624.00602100,2018-01-05 01:59:59.999,24300899.02363520,12471,994.47841500,14881624.06367397,0
49,2018-01-05 02:00:00,15038.04000000,15200.00000000,14642.00000000,14965.37000000,2000.96866900,2018-01-05 03:59:59.999,30125017.10690257,15580,1179.85938100,17772668.62400732,0
50,2018-01-05 04:00:00,14970.00000000,15083.63000000,14600.00000000,15000.00000000,1810.67960900,2018-01-05 05:59:59.999,26966864.36701765,14641,1088.06183300,16211969.83936489,0
51,2018-01-05 06:00:00,14999.00000000,15020.00000000,14700.00000000,14920.14000000,1623.81917000,2018-01-05 07:59:59.999,24244101.64314172,11981,950.42188200,14195242.16913754,0
52,2018-01-05 08:00:00,14916.95000000,16111.00000000,14880.00000000,15880.39000000,2346.36326800,2018-01-05 09:59:59.999,36488360.98083488,22669,1336.65970000,20781954.58780805,0
53,2018-01-05 10:00:00,15873.50000000,16350.00000000,15826.37000000,16090.69000000,1888.96149400,2018-01-05 11:59:59.999,30330663.05966487,18927,1050.74454100,16872229.29822641,0
54,2018-01-05 12:00:00,16090.70000000,16199.00000000,15750.00000000,16093.94000000,2001.74254500,2018-01-05 13:59:59.999,31934554.71921891,15511,1142.32419200,18229684.15980835,0
55,2018-01-05 14:00:00,16071.62000000,16267.04000000,15901.01000000,16087.72000000,1779.05849000,2018-01-05 15:59:59.999,28623182.83777568,14641,990.46372500,15937341.43770976,0
56,2018-01-05 16:00:00,16094.99000000,17118.13000000,16087.73000000,16650.00000000,1945.19363900,2018-01-05 17:59:59.999,32112289.32817502,20598,1190.10882500,19647503.18098961,0
57,2018-01-05 18:00:00,16650.00000000,16988.00000000,16310.00000000,16593.01000000,2265.92118900,2018-01-05 19:59:59.999,37642401.24742841,17027,1130.18031000,18771953.54820373,0
58,2018-01-05 20:00:00,16594.14000000,16950.00000000,16353.00000000,16799.95000000,2138.47734900,2018-01-05 21:59:59.999,35598327.77311743,12931,1207.67161600,20124853.67449435,0
59,2018-01-05 22:00:00,16799.94000000,17176.24000000,16645.24000000,16960.39000000,1826.29968200,2018-01-05 23:59:59.999,30955294.39992519,15992,1085.64787300,18402876.09555826,0
60,2018-01-06 00:00:00,16960.39000000,17099.99000000,16677.98000000,17025.03000000,1934.17788800,2018-01-06 01:59:59.999,32711668.81401404,15640,1183.65564300,20023263.40055720,0
61,2018-01-06 02:00:00,17025.03000000,17073.26000000,16288.00000000,16521.59000000,2313.53575200,2018-01-06 03:59:59.999,38589163.49838584,18760,1325.46317700,22131035.41280877,0
62,2018-01-06 04:00:00,16521.57000000,16750.00000000,16300.00000000,16642.84000000,1502.45851900,2018-01-06 05:59:59.999,24761259.10398236,11955,862.29476300,14216526.57038719,0
63,2018-01-06 06:00:00,16637.82000000,16719.38000000,16415.21000000,16518.00000000,661.52191300,2018-01-06 07:59:59.999,10959535.70440810,8356,310.39480300,5142200.22578561,0
64,2018-01-06 08:00:00,16500.18000000,16600.00000000,16340.00000000,16419.96000000,1158.58093000,2018-01-06 09:59:59.999,19080566.96640442,10729,719.90301900,11859993.70263393,0
65,2018-01-06 10:00:00,16419.95000000,16750.01000000,16390.00000000,16529.89000000,1411.42393300,2018-01-06 11:59:59.999,23412148.05820030,11930,821.69866100,13627284.40381709,0
66,2018-01-06 12:00:00,16505.16000000,16557.36000000,16011.21000000,16168.00000000,1818.79180100,2018-01-06 13:59:59.999,29665337.82343508,15908,1031.10244700,16825197.29650438,0
67,2018-01-06 14:00:00,16159.69000000,16639.00000000,16145.00000000,16556.22000000,1818.16201800,2018-01-06 15:59:59.999,29872398.26640376,14744,1044.20494200,17157824.47012241,0
68,2018-01-06 16:00:00,16550.04000000,16982.00000000,16501.75000000,16889.93000000,1588.40927300,2018-01-06 17:59:59.999,26620685.41068516,12698,962.00675100,16131271.88925736,0
69,2018-01-06 18:00:00,16854.03000000,16929.99000000,16582.98000000,16770.01000000,1617.27834800,2018-01-06 19:59:59.999,27126692.80550778,13987,934.24953100,15674778.51955066,0
70,2018-01-06 20:00:00,16770.01000000,16877.18000000,16612.18000000,16790.99000000,1267.74209300,2018-01-06 21:59:59.999,21242186.10750137,10340,808.33741300,13547332.45530905,0
71,2018-01-06 22:00:00,16790.99000000,17143.13000000,16790.00000000,17069.79000000,1479.37504000,2018-01-06 23:59:59.999,25175278.42748221,13195,1003.85290600,17081060.71564354,0
72,2018-01-07 00:00:00,17069.79000000,17099.96000000,16792.01000000,16951.02000000,1509.63994600,2018-01-07 01:59:59.999,25585920.45051493,12025,882.71996900,14962914.87782815,0
73,2018-01-07 02:00:00,16951.02000000,16967.97000000,16605.01000000,16740.68000000,1644.66465700,2018-01-07 03:59:59.999,27566097.21705068,10681,1021.12264800,17120853.76963014,0
74,2018-01-07 04:00:00,16727.93000000,16744.94000000,16400.00000000,16564.00000000,1474.14818400,2018-01-07 05:59:59.999,24473898.48101946,11441,883.58390700,14669090.07528651,0
75,2018-01-07 06:00:00,16564.00000000,16749.98000000,16400.00000000,16746.99000000,1299.41506400,2018-01-07 07:59:59.999,21514502.38874243,10252,767.33203700,12708782.95450476,0
76,2018-01-07 08:00:00,16747.00000000,16886.75000000,16579.33000000,16690.06000000,1084.30025300,2018-01-07 09:59:59.999,18184842.95912989,8489,658.04899000,11040707.23711248,0
77,2018-01-07 10:00:00,16690.06000000,16814.72000000,16560.02000000,16607.00000000,391.40626700,2018-01-07 11:59:59.999,6545260.18272090,6338,212.14823400,3548295.08887226,0
78,2018-01-07 12:00:00,16611.00000000,16649.05000000,16300.00000000,16386.00000000,616.90372600,2018-01-07 13:59:59.999,10165054.14371908,8799,282.05422800,4646532.01146981,0
79,2018-01-07 14:00:00,16386.00000000,16592.00000000,16376.99000000,16439.65000000,596.14773900,2018-01-07 15:59:59.999,9833910.41267778,8168,284.34131600,4692808.80803861,0
80,2018-01-07 16:00:00,16439.64000000,16474.87000000,15715.06000000,15800.01000000,1748.66317000,2018-01-07 17:59:59.999,28120934.27531117,17305,801.75580300,12904305.57100531,0
81,2018-01-07 18:00:00,15800.01000000,16199.96000000,15610.00000000,16100.90000000,1029.79201300,2018-01-07 19:59:59.999,16385782.07428639,12804,504.25099100,8028008.72482219,0
82,2018-01-07 20:00:00,16100.90000000,16299.95000000,15872.07000000,16198.99000000,531.92259400,2018-01-07 21:59:59.999,8569505.30321274,6900,222.88496100,3594350.85884500,0
83,2018-01-07 22:00:00,16198.99000000,16500.00000000,16000.94000000,16150.03000000,566.12194500,2018-01-07 23:59:59.999,9248998.48229808,7067,259.07742400,4234513.15001998,0
84,2018-01-08 00:00:00,16218.85000000,16322.30000000,15655.00000000,15850.07000000,1460.17343800,2018-01-08 01:59:59.999,23305443.45744073,14437,746.87966100,11928650.91149713,0
85,2018-01-08 02:00:00,15850.08000000,16100.00000000,15514.99000000,15670.37000000,1713.97069600,2018-01-08 03:59:59.999,27139760.48172340,13484,912.83625200,14472442.08984428,0
86,2018-01-08 04:00:00,15632.48000000,15899.99000000,15476.00000000,15768.71000000,1460.38680700,2018-01-08 05:59:59.999,22941229.07758436,13531,876.85678300,13782830.95384147,0
87,2018-01-08 06:00:00,15768.71000000,15921.68000000,15639.64000000,15865.00000000,1597.04576000,2018-01-08 07:59:59.999,25228372.18729922,10539,1046.67441000,16537418.57437385,0
88,2018-01-08 08:00:00,15864.99000000,15869.97000000,14619.00000000,14650.00000000,2588.80765800,2018-01-08 09:59:59.999,39365167.04429291,22868,1281.59969400,19524642.08705605,0
89,2018-01-08 10:00:00,14650.00000000,15468.12000000,14551.00000000,15400.00000000,2315.10359800,2018-01-08 11:59:59.999,34901400.59988315,16906,1354.56135600,20447769.40985041,0
90,2018-01-08 12:00:00,15414.00000000,15499.00000000,14444.00000000,14609.88000000,2175.69364300,2018-01-08 13:59:59.999,32557276.23115593,15789,1049.38234300,15777599.89776377,0
91,2018-01-08 14:00:00,14659.88000000,14700.00000000,12812.00000000,14299.98000000,6559.95531800,2018-01-08 15:59:59.999,91688455.31013995,43738,3056.88630700,42903607.08497685,0
92,2018-01-08 16:00:00,14297.90000000,14966.51000000,14238.32000000,14699.95000000,2904.23376900,2018-01-08 17:59:59.999,42642383.89224533,19960,1580.04257500,23199801.62909334,0
93,2018-01-08 18:00:00,14739.80000000,15247.33000000,14580.22000000,15196.55000000,1240.04093500,2018-01-08 19:59:59.999,18564945.97575190,12397,662.30120400,9901718.95465899,0
94,2018-01-08 20:00:00,15196.56000000,15270.99000000,14527.08000000,14888.97000000,1192.32704300,2018-01-08 21:59:59.999,17757856.77103013,12016,515.52943400,7669798.87409763,0
95,2018-01-08 22:00:00,14889.30000000,15000.00000000,14392.32000000,14902.54000000,1392.87124700,2018-01-08 23:59:59.999,20477706.12891565,12977,673.29437000,9903301.66963447,0
96,2018-01-09 00:00:00,14902.54000000,15320.00000000,14701.00000000,15240.24000000,1319.35246800,2018-01-09 01:59:59.999,19881135.37557896,13661,630.34834400,9489145.66814321,0
97,2018-01-09 02:00:00,15242.34000000,15500.00000000,15053.22000000,15210.00000000,948.37846400,2018-01-09 03:59:59.999,14459939.58729556,10497,483.40007600,7372968.19905130,0
98,2018-01-09 04:00:00,15186.53000000,15397.00000000,14670.00000000,14880.00000000,1074.07802300,2018-01-09 05:59:59.999,16171045.13227276,11733,510.83496200,7694089.09798883,0
99,2018-01-09 06:00:00,14880.00000000,15150.00000000,14601.00000000,15062.28000000,1020.61874100,2018-01-09 07:59:59.999,15180010.60179169,9865,527.46600500,7839692.32102284,0
100,2018-01-09 08:00:00,15062.28000000,15300.00000000,14766.00000000,14811.00000000,720.59435000,2018-01-09 09:59:59.999,10865766.38142335,9237,307.89895400,4639475.47716648,0
101,2018-01-09 10:00:00,14802.01000000,14816.10000000,14170.33000000,14726.00000000,1832.72429300,2018-01-09 11:59:59.999,26614929.57788262,19278,850.50955800,12354852.45327830,0
102,2018-01-09 12:00:00,14726.00000000,14829.98000000,14011.05000000,14041.03000000,1754.44804300,2018-01-09 13:59:59.999,25289959.01693645,17491,849.66979100,12247009.09063322,0
103,2018-01-09 14:00:00,14072.87000000,14800.00000000,14064.13000000,14654.96000000,1752.08965200,2018-01-09 15:59:59.999,25346038.85250567,17430,848.29571900,12258903.98516959,0
104,2018-01-09 16:00:00,14655.01000000,14998.62000000,14585.01000000,14949.98000000,867.46203300,2018-01-09 17:59:59.999,12892881.24729087,10642,464.72262000,6908612.46961577,0
105,2018-01-09 18:00:00,14949.98000000,14990.00000000,14650.00000000,14717.82000000,691.49911500,2018-01-09 19:59:59.999,10240363.90823303,8673,386.61845500,5723215.72920859,0
106,2018-01-09 20:00:00,14717.82000000,14861.56000000,14420.00000000,14462.81000000,818.83718100,2018-01-09 21:59:59.999,12006823.61249228,10331,335.65754000,4921400.57706899,0
107,2018-01-09 22:00:00,14452.00000000,14536.36000000,14125.00000000,14400.00000000,1514.92189000,2018-01-09 23:59:59.999,21681294.16396538,17818,645.81126300,9249207.83167428,0
108,2018-01-10 00:00:00,14401.00000000,14480.00000000,13750.00000000,14121.58000000,1799.63666300,2018-01-10 01:59:59.999,25293007.64227867,17160,861.61363900,12113604.45783464,0
109,2018-01-10 02:00:00,14120.00000000,14300.01000000,13950.00000000,13964.05000000,1023.61851200,2018-01-10 03:59:59.999,14523235.18500613,10705,456.35698300,6478158.77154408,0
110,2018-01-10 04:00:00,13980.00000000,14323.00000000,13866.66000000,14136.72000000,1489.88900400,2018-01-10 05:59:59.999,20981864.23840009,16871,686.70969000,9669224.11598585,0
111,2018-01-10 06:00:00,14136.77000000,14349.99000000,13855.00000000,13979.00000000,1246.62888300,2018-01-10 07:59:59.999,17625821.04681847,12308,584.10394900,8253563.43927061,0
112,2018-01-10 08:00:00,13978.95000000,13979.00000000,13131.31000000,13754.38000000,3262.36508500,2018-01-10 09:59:59.999,44189355.42618454,25295,1538.09796200,20855287.92663564,0
113,2018-01-10 10:00:00,13750.60000000,14128.30000000,13485.09000000,13919.08000000,1658.65670400,2018-01-10 11:59:59.999,22871457.74875112,13233,850.38143800,11727473.62302759,0
114,2018-01-10 12:00:00,13919.09000000,14100.00000000,13639.06000000,13861.94000000,1192.88323900,2018-01-10 13:59:59.999,16542147.87862819,11019,605.06114000,8386667.56588295,0
115,2018-01-10 14:00:00,13813.10000000,14490.00000000,13500.00000000,14399.95000000,2028.16641800,2018-01-10 15:59:59.999,28247184.01634019,16523,1115.48377700,15538495.69160314,0
116,2018-01-10 16:00:00,14399.95000000,14698.12000000,14270.97000000,14567.51000000,1441.36886200,2018-01-10 17:59:59.999,20859108.25076162,13842,662.29308000,9586789.05870331,0
117,2018-01-10 18:00:00,14550.00000000,14735.43000000,14172.95000000,14349.98000000,796.80385700,2018-01-10 19:59:59.999,11538403.99246567,8276,401.53085300,5816577.01310213,0
118,2018-01-10 20:00:00,14349.98000000,14589.99000000,14240.00000000,14515.00000000,610.66421400,2018-01-10 21:59:59.999,8822488.14373051,6589,328.22238000,4742220.16638992,0
119,2018-01-10 22:00:00,14500.00000000,14955.66000000,14251.00000000,14907.09000000,860.32021400,2018-01-10 23:59:59.999,12517293.19366279,9655,439.69978400,6402077.97647363,0
120,2018-01-11 00:00:00,14940.00000000,14968.68000000,14295.00000000,14427.87000000,1111.93952500,2018-01-11 01:59:59.999,16247547.32860283,9771,518.26365000,7569626.34984509,0
121,2018-01-11 02:00:00,14377.94000000,14505.02000000,12613.00000000,12920.00000000,3868.46807200,2018-01-11 03:59:59.999,52008834.56922980,24932,1730.61499600,23313090.11653755,0
122,2018-01-11 04:00:00,12911.92000000,13613.81000000,11400.00000000,12868.84000000,9608.95015600,2018-01-11 05:59:59.999,122440814.08874755,51354,4829.52636900,61819798.19689847,0
123,2018-01-11 06:00:00,12868.84000000,13631.98000000,12780.03000000,13530.42000000,3259.47568600,2018-01-11 07:59:59.999,43433127.32945661,18772,1667.80599200,22247830.39915521,0
124,2018-01-11 08:00:00,13530.42000000,13896.70000000,13300.00000000,13425.24000000,1805.25450800,2018-01-11 09:59:59.999,24664573.94380131,15258,873.76528800,11934865.95359268,0
